n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.01,0,0,25955.0
20|20|0.01,0,1,25955.0
20|20|0.01,0,2,25955.0
20|20|0.01,0,3,25955.0
20|20|0.01,0,4,25955.0
20|20|0.01,0,5,25955.0
20|20|0.01,0,6,25955.0
20|20|0.01,0,7,25955.0
20|20|0.01,0,8,25955.0
20|20|0.01,0,9,25955.0
20|20|0.01,0,10,25955.0
20|20|0.01,0,11,25955.0
20|20|0.01,0,12,25955.0
20|20|0.01,0,13,25955.0
20|20|0.01,0,14,25955.0
20|20|0.01,0,15,25955.0
20|20|0.01,0,16,25955.0
20|20|0.01,0,17,25955.0
20|20|0.01,0,18,25955.0
20|20|0.01,0,19,25955.0
20|20|0.01,1,0,27809.0
20|20|0.01,1,1,27809.0
20|20|0.01,1,2,27809.0
20|20|0.01,1,3,27809.0
20|20|0.01,1,4,27809.0
20|20|0.01,1,5,27809.0
20|20|0.01,1,6,27809.0
20|20|0.01,1,7,27809.0
20|20|0.01,1,8,27809.0
20|20|0.01,1,9,27809.0
20|20|0.01,1,10,27809.0
20|20|0.01,1,11,27809.0
20|20|0.01,1,12,27809.0
20|20|0.01,1,13,27809.0
20|20|0.01,1,14,27809.0
20|20|0.01,1,15,27809.0
20|20|0.01,1,16,27809.0
20|20|0.01,1,17,27809.0
20|20|0.01,1,18,27809.0
20|20|0.01,1,19,27809.0
20|20|0.01,2,0,27478.0
20|20|0.01,2,1,27478.0
20|20|0.01,2,2,27478.0
20|20|0.01,2,3,27478.0
20|20|0.01,2,4,27478.0
20|20|0.01,2,5,27478.0
20|20|0.01,2,6,27478.0
20|20|0.01,2,7,27478.0
20|20|0.01,2,8,27478.0
20|20|0.01,2,9,27478.0
20|20|0.01,2,10,27478.0
20|20|0.01,2,11,27478.0
20|20|0.01,2,12,27478.0
20|20|0.01,2,13,27478.0
20|20|0.01,2,14,27478.0
20|20|0.01,2,15,27478.0
20|20|0.01,2,16,27478.0
20|20|0.01,2,17,27478.0
20|20|0.01,2,18,27478.0
20|20|0.01,2,19,27478.0
20|20|0.01,3,0,27428.0
20|20|0.01,3,1,27428.0
20|20|0.01,3,2,27428.0
20|20|0.01,3,3,27428.0
20|20|0.01,3,4,27428.0
20|20|0.01,3,5,27428.0
20|20|0.01,3,6,27428.0
20|20|0.01,3,7,27428.0
20|20|0.01,3,8,27428.0
20|20|0.01,3,9,27428.0
20|20|0.01,3,10,27428.0
20|20|0.01,3,11,27428.0
20|20|0.01,3,12,27428.0
20|20|0.01,3,13,27428.0
20|20|0.01,3,14,27428.0
20|20|0.01,3,15,27428.0
20|20|0.01,3,16,27428.0
20|20|0.01,3,17,27428.0
20|20|0.01,3,18,27428.0
20|20|0.01,3,19,27428.0
20|20|0.01,4,0,26002.0
20|20|0.01,4,1,26002.0
20|20|0.01,4,2,26002.0
20|20|0.01,4,3,26002.0
20|20|0.01,4,4,26002.0
20|20|0.01,4,5,26002.0
20|20|0.01,4,6,26002.0
20|20|0.01,4,7,26002.0
20|20|0.01,4,8,26002.0
20|20|0.01,4,9,26002.0
20|20|0.01,4,10,26002.0
20|20|0.01,4,11,26002.0
20|20|0.01,4,12,26002.0
20|20|0.01,4,13,26002.0
20|20|0.01,4,14,26002.0
20|20|0.01,4,15,26002.0
20|20|0.01,4,16,26002.0
20|20|0.01,4,17,26002.0
20|20|0.01,4,18,26002.0
20|20|0.01,4,19,26002.0
20|20|0.01,5,0,25229.0
20|20|0.01,5,1,25229.0
20|20|0.01,5,2,25229.0
20|20|0.01,5,3,25229.0
20|20|0.01,5,4,25229.0
20|20|0.01,5,5,25229.0
20|20|0.01,5,6,25229.0
20|20|0.01,5,7,25229.0
20|20|0.01,5,8,25229.0
20|20|0.01,5,9,25229.0
20|20|0.01,5,10,25229.0
20|20|0.01,5,11,25229.0
20|20|0.01,5,12,25229.0
20|20|0.01,5,13,25229.0
20|20|0.01,5,14,25229.0
20|20|0.01,5,15,25229.0
20|20|0.01,5,16,25229.0
20|20|0.01,5,17,25229.0
20|20|0.01,5,18,25229.0
20|20|0.01,5,19,25229.0
20|20|0.01,6,0,27173.0
20|20|0.01,6,1,27173.0
20|20|0.01,6,2,27173.0
20|20|0.01,6,3,27173.0
20|20|0.01,6,4,27173.0
20|20|0.01,6,5,27173.0
