n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.01,0,0,313.0
20|20|0.01,0,1,313.0
20|20|0.01,0,2,313.0
20|20|0.01,0,3,313.0
20|20|0.01,0,4,313.0
20|20|0.01,0,5,313.0
20|20|0.01,0,6,313.0
20|20|0.01,0,7,313.0
20|20|0.01,0,8,313.0
20|20|0.01,0,9,313.0
20|20|0.01,0,10,313.0
20|20|0.01,0,11,313.0
20|20|0.01,0,12,313.0
20|20|0.01,0,13,313.0
20|20|0.01,0,14,313.0
20|20|0.01,0,15,313.0
20|20|0.01,0,16,313.0
20|20|0.01,0,17,313.0
20|20|0.01,0,18,313.0
20|20|0.01,0,19,313.0
20|20|0.01,1,0,327.0
20|20|0.01,1,1,327.0
20|20|0.01,1,2,327.0
20|20|0.01,1,3,327.0
20|20|0.01,1,4,327.0
20|20|0.01,1,5,327.0
20|20|0.01,1,6,327.0
20|20|0.01,1,7,327.0
20|20|0.01,1,8,327.0
20|20|0.01,1,9,327.0
20|20|0.01,1,10,327.0
20|20|0.01,1,11,327.0
20|20|0.01,1,12,327.0
20|20|0.01,1,13,327.0
20|20|0.01,1,14,327.0
20|20|0.01,1,15,327.0
20|20|0.01,1,16,327.0
20|20|0.01,1,17,327.0
20|20|0.01,1,18,327.0
20|20|0.01,1,19,327.0
20|20|0.01,2,0,291.0
20|20|0.01,2,1,291.0
20|20|0.01,2,2,291.0
20|20|0.01,2,3,291.0
20|20|0.01,2,4,291.0
20|20|0.01,2,5,291.0
20|20|0.01,2,6,291.0
20|20|0.01,2,7,291.0
20|20|0.01,2,8,291.0
20|20|0.01,2,9,291.0
20|20|0.01,2,10,291.0
20|20|0.01,2,11,291.0
20|20|0.01,2,12,291.0
20|20|0.01,2,13,291.0
20|20|0.01,2,14,291.0
20|20|0.01,2,15,291.0
20|20|0.01,2,16,291.0
20|20|0.01,2,17,291.0
20|20|0.01,2,18,291.0
20|20|0.01,2,19,291.0
20|20|0.01,3,0,359.0
20|20|0.01,3,1,359.0
20|20|0.01,3,2,359.0
20|20|0.01,3,3,359.0
20|20|0.01,3,4,359.0
20|20|0.01,3,5,359.0
20|20|0.01,3,6,359.0
20|20|0.01,3,7,359.0
20|20|0.01,3,8,359.0
20|20|0.01,3,9,359.0
20|20|0.01,3,10,359.0
20|20|0.01,3,11,352.0
20|20|0.01,3,12,352.0
20|20|0.01,3,13,352.0
20|20|0.01,3,14,352.0
20|20|0.01,3,15,352.0
20|20|0.01,3,16,352.0
20|20|0.01,3,17,352.0
20|20|0.01,3,18,352.0
20|20|0.01,3,19,352.0
20|20|0.01,4,0,359.0
20|20|0.01,4,1,359.0
20|20|0.01,4,2,359.0
20|20|0.01,4,3,359.0
20|20|0.01,4,4,359.0
20|20|0.01,4,5,359.0
20|20|0.01,4,6,359.0
20|20|0.01,4,7,359.0
20|20|0.01,4,8,359.0
20|20|0.01,4,9,359.0
20|20|0.01,4,10,359.0
20|20|0.01,4,11,359.0
20|20|0.01,4,12,359.0
20|20|0.01,4,13,359.0
20|20|0.01,4,14,359.0
20|20|0.01,4,15,359.0
20|20|0.01,4,16,359.0
20|20|0.01,4,17,359.0
20|20|0.01,4,18,359.0
20|20|0.01,4,19,359.0
20|20|0.01,5,0,327.0
20|20|0.01,5,1,327.0
20|20|0.01,5,2,327.0
20|20|0.01,5,3,327.0
20|20|0.01,5,4,327.0
20|20|0.01,5,5,327.0
20|20|0.01,5,6,327.0
20|20|0.01,5,7,327.0
20|20|0.01,5,8,327.0
20|20|0.01,5,9,327.0
20|20|0.01,5,10,327.0
20|20|0.01,5,11,327.0
20|20|0.01,5,12,327.0
20|20|0.01,5,13,327.0
20|20|0.01,5,14,327.0
20|20|0.01,5,15,327.0
20|20|0.01,5,16,327.0
20|20|0.01,5,17,327.0
20|20|0.01,5,18,327.0
20|20|0.01,5,19,327.0
20|20|0.01,6,0,327.0
20|20|0.01,6,1,327.0
