n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.01,8,3,27173.0
20|20|0.01,8,4,27173.0
20|20|0.01,8,5,27173.0
20|20|0.01,8,6,27173.0
20|20|0.01,8,7,27173.0
20|20|0.01,8,8,27173.0
20|20|0.01,8,9,27173.0
20|20|0.01,8,10,27173.0
20|20|0.01,8,11,27173.0
20|20|0.01,8,12,27173.0
20|20|0.01,8,13,27173.0
20|20|0.01,8,14,27173.0
20|20|0.01,8,15,27173.0
20|20|0.01,8,16,27173.0
20|20|0.01,8,17,27173.0
20|20|0.01,8,18,27173.0
20|20|0.01,8,19,27173.0
20|20|0.01,9,0,25036.0
20|20|0.01,9,1,25036.0
20|20|0.01,9,2,25036.0
20|20|0.01,9,3,25036.0
20|20|0.01,9,4,25036.0
20|20|0.01,9,5,25036.0
20|20|0.01,9,6,25036.0
20|20|0.01,9,7,25036.0
20|20|0.01,9,8,25036.0
20|20|0.01,9,9,25036.0
20|20|0.01,9,10,25036.0
20|20|0.01,9,11,25036.0
20|20|0.01,9,12,25036.0
20|20|0.01,9,13,25036.0
20|20|0.01,9,14,25036.0
20|20|0.01,9,15,25036.0
20|20|0.01,9,16,25036.0
20|20|0.01,9,17,25036.0
20|20|0.01,9,18,25036.0
20|20|0.01,9,19,25036.0
20|20|0.02,0,0,26160.0
20|20|0.02,0,1,26160.0
20|20|0.02,0,2,26160.0
20|20|0.02,0,3,26160.0
20|20|0.02,0,4,26160.0
20|20|0.02,0,5,26160.0
20|20|0.02,0,6,26160.0
20|20|0.02,0,7,26160.0
20|20|0.02,0,8,26160.0
20|20|0.02,0,9,26160.0
20|20|0.02,0,10,26160.0
20|20|0.02,0,11,26024.0
20|20|0.02,0,12,26024.0
20|20|0.02,0,13,26024.0
20|20|0.02,0,14,26024.0
20|20|0.02,0,15,26024.0
20|20|0.02,0,16,26024.0
20|20|0.02,0,17,26024.0
20|20|0.02,0,18,26024.0
20|20|0.02,0,19,26024.0
20|20|0.02,1,0,27883.0
20|20|0.02,1,1,27883.0
20|20|0.02,1,2,27883.0
20|20|0.02,1,3,27883.0
20|20|0.02,1,4,27883.0
20|20|0.02,1,5,27883.0
20|20|0.02,1,6,27883.0
20|20|0.02,1,7,27883.0
20|20|0.02,1,8,27883.0
20|20|0.02,1,9,27883.0
20|20|0.02,1,10,27883.0
20|20|0.02,1,11,27883.0
20|20|0.02,1,12,27883.0
20|20|0.02,1,13,27883.0
20|20|0.02,1,14,27883.0
20|20|0.02,1,15,27883.0
20|20|0.02,1,16,27883.0
20|20|0.02,1,17,27883.0
20|20|0.02,1,18,27883.0
20|20|0.02,1,19,27883.0
20|20|0.02,2,0,27213.0
20|20|0.02,2,1,27213.0
20|20|0.02,2,2,27213.0
20|20|0.02,2,3,27213.0
20|20|0.02,2,4,27213.0
20|20|0.02,2,5,27213.0
20|20|0.02,2,6,27213.0
20|20|0.02,2,7,27213.0
20|20|0.02,2,8,27213.0
20|20|0.02,2,9,27213.0
20|20|0.02,2,10,27213.0
20|20|0.02,2,11,27213.0
20|20|0.02,2,12,27213.0
20|20|0.02,2,13,27213.0
20|20|0.02,2,14,27213.0
20|20|0.02,2,15,27213.0
20|20|0.02,2,16,27213.0
20|20|0.02,2,17,27213.0
20|20|0.02,2,18,27213.0
20|20|0.02,2,19,27213.0
20|20|0.02,3,0,27855.0
20|20|0.02,3,1,27855.0
20|20|0.02,3,2,27855.0
20|20|0.02,3,3,27855.0
20|20|0.02,3,4,27855.0
20|20|0.02,3,5,27855.0
20|20|0.02,3,6,27855.0
20|20|0.02,3,7,27855.0
20|20|0.02,3,8,27855.0
20|20|0.02,3,9,27855.0
20|20|0.02,3,10,27855.0
20|20|0.02,3,11,27855.0
20|20|0.02,3,12,27855.0
20|20|0.02,3,13,27855.0
20|20|0.02,3,14,27855.0
20|20|0.02,3,15,27855.0
20|20|0.02,3,16,27855.0
20|20|0.02,3,17,27855.0
20|20|0.02,3,18,27855.0
20|20|0.02,3,19,27855.0
20|20|0.02,4,0,25302.0
20|20|0.02,4,1,25302.0
20|20|0.02,4,2,25302.0
20|20|0.02,4,3,25302.0
20|20|0.02,4,4,25302.0
20|20|0.02,4,5,25302.0
20|20|0.02,4,6,25302.0
20|20|0.02,4,7,25302.0
20|20|0.02,4,8,25302.0
20|20|0.02,4,9,25302.0
20|20|0.02,4,10,25302.0
20|20|0.02,4,11,25302.0
20|20|0.02,4,12,25302.0
20|20|0.02,4,13,25302.0
20|20|0.02,4,14,25302.0
20|20|0.02,4,15,25302.0
20|20|0.02,4,16,25302.0
20|20|0.02,4,17,25302.0
20|20|0.02,4,18,25302.0
20|20|0.02,4,19,25302.0
20|20|0.02,5,0,26644.0
20|20|0.02,5,1,26644.0
20|20|0.02,5,2,26644.0
20|20|0.02,5,3,26644.0
20|20|0.02,5,4,26644.0
20|20|0.02,5,5,26644.0
20|20|0.02,5,6,26644.0
20|20|0.02,5,7,26644.0
20|20|0.02,5,8,26644.0
20|20|0.02,5,9,26644.0
20|20|0.02,5,10,26644.0
20|20|0.02,5,11,26644.0
20|20|0.02,5,12,26644.0
20|20|0.02,5,13,26644.0
20|20|0.02,5,14,26644.0
20|20|0.02,5,15,26644.0
20|20|0.02,5,16,26644.0
20|20|0.02,5,17,26644.0
20|20|0.02,5,18,26644.0
20|20|0.02,5,19,26644.0
20|20|0.02,6,0,25105.0
20|20|0.02,6,1,25105.0
20|20|0.02,6,2,25105.0
20|20|0.02,6,3,25105.0
20|20|0.02,6,4,25105.0
20|20|0.02,6,5,25105.0
20|20|0.02,6,6,25105.0
20|20|0.02,6,7,25105.0
20|20|0.02,6,8,25105.0
20|20|0.02,6,9,25105.0
20|20|0.02,6,10,25105.0
20|20|0.02,6,11,25105.0
20|20|0.02,6,12,25105.0
20|20|0.02,6,13,25105.0
20|20|0.02,6,14,25105.0
20|20|0.02,6,15,25105.0
20|20|0.02,6,16,25105.0
20|20|0.02,6,17,25105.0
20|20|0.02,6,18,25105.0
20|20|0.02,6,19,25105.0
20|20|0.02,7,0,25465.0
20|20|0.02,7,1,25465.0
20|20|0.02,7,2,25465.0
20|20|0.02,7,3,25465.0
20|20|0.02,7,4,25465.0
20|20|0.02,7,5,25465.0
20|20|0.02,7,6,25465.0
20|20|0.02,7,7,25465.0
20|20|0.02,7,8,25465.0
20|20|0.02,7,9,25465.0
20|20|0.02,7,10,25465.0
20|20|0.02,7,11,25465.0
20|20|0.02,7,12,25465.0
20|20|0.02,7,13,25465.0
20|20|0.02,7,14,25465.0
20|20|0.02,7,15,25465.0
20|20|0.02,7,16,25465.0
20|20|0.02,7,17,25465.0
20|20|0.02,7,18,25465.0
20|20|0.02,7,19,25465.0
20|20|0.02,8,0,28918.0
20|20|0.02,8,1,28918.0
20|20|0.02,8,2,28918.0
20|20|0.02,8,3,28918.0
20|20|0.02,8,4,28918.0
20|20|0.02,8,5,28918.0
20|20|0.02,8,6,28918.0
20|20|0.02,8,7,28918.0
20|20|0.02,8,8,28918.0
20|20|0.02,8,9,28918.0
20|20|0.02,8,10,28918.0
20|20|0.02,8,11,28918.0
20|20|0.02,8,12,28918.0
20|20|0.02,8,13,28918.0
20|20|0.02,8,14,28918.0
20|20|0.02,8,15,28918.0
20|20|0.02,8,16,28918.0
20|20|0.02,8,17,28918.0
20|20|0.02,8,18,28918.0
20|20|0.02,8,19,28918.0
20|20|0.02,9,0,26127.0
20|20|0.02,9,1,26127.0
20|20|0.02,9,2,26127.0
20|20|0.02,9,3,26127.0
20|20|0.02,9,4,26127.0
20|20|0.02,9,5,26127.0
20|20|0.02,9,6,26127.0
20|20|0.02,9,7,26127.0
20|20|0.02,9,8,26127.0
20|20|0.02,9,9,26127.0
20|20|0.02,9,10,26127.0
20|20|0.02,9,11,26127.0
20|20|0.02,9,12,26127.0
20|20|0.02,9,13,26127.0
20|20|0.02,9,14,26127.0
20|20|0.02,9,15,26127.0
20|20|0.02,9,16,26127.0
20|20|0.02,9,17,26127.0
20|20|0.02,9,18,26016.0
20|20|0.02,9,19,26016.0
20|20|0.03,0,0,27337.0
20|20|0.03,0,1,27337.0
20|20|0.03,0,2,27337.0
20|20|0.03,0,3,27337.0
20|20|0.03,0,4,27337.0
20|20|0.03,0,5,27337.0
20|20|0.03,0,6,27337.0
20|20|0.03,0,7,27337.0
20|20|0.03,0,8,27337.0
20|20|0.03,0,9,27337.0
20|20|0.03,0,10,27337.0
20|20|0.03,0,11,27337.0
20|20|0.03,0,12,27337.0
20|20|0.03,0,13,27337.0
20|20|0.03,0,14,27337.0
20|20|0.03,0,15,27337.0
20|20|0.03,0,16,27337.0
20|20|0.03,0,17,27337.0
20|20|0.03,0,18,27337.0
20|20|0.03,0,19,27337.0
20|20|0.03,1,0,25955.0
20|20|0.03,1,1,25955.0
20|20|0.03,1,2,25955.0
20|20|0.03,1,3,25955.0
20|20|0.03,1,4,25955.0
20|20|0.03,1,5,25955.0
20|20|0.03,1,6,25955.0
20|20|0.03,1,7,25955.0
20|20|0.03,1,8,25955.0
20|20|0.03,1,9,25955.0
20|20|0.03,1,10,25955.0
20|20|0.03,1,11,25955.0
20|20|0.03,1,12,25955.0
20|20|0.03,1,13,25955.0
20|20|0.03,1,14,25955.0
20|20|0.03,1,15,25955.0
20|20|0.03,1,16,25955.0
20|20|0.03,1,17,25955.0
20|20|0.03,1,18,25955.0
20|20|0.03,1,19,25955.0
20|20|0.03,2,0,27855.0
20|20|0.03,2,1,27855.0
20|20|0.03,2,2,27855.0
20|20|0.03,2,3,27855.0
20|20|0.03,2,4,27855.0
20|20|0.03,2,5,27855.0
20|20|0.03,2,6,27855.0
20|20|0.03,2,7,27855.0
20|20|0.03,2,8,27855.0
20|20|0.03,2,9,27855.0
20|20|0.03,2,10,27855.0
20|20|0.03,2,11,27855.0
20|20|0.03,2,12,27855.0
20|20|0.03,2,13,27855.0
20|20|0.03,2,14,27855.0
20|20|0.03,2,15,27855.0
20|20|0.03,2,16,27855.0
20|20|0.03,2,17,27855.0
20|20|0.03,2,18,27855.0
20|20|0.03,2,19,27855.0
20|20|0.03,3,0,27252.0
20|20|0.03,3,1,27252.0
20|20|0.03,3,2,27252.0
20|20|0.03,3,3,27252.0
20|20|0.03,3,4,27252.0
20|20|0.03,3,5,27252.0
20|20|0.03,3,6,27252.0
20|20|0.03,3,7,27252.0
20|20|0.03,3,8,27252.0
20|20|0.03,3,9,27252.0
20|20|0.03,3,10,27252.0
20|20|0.03,3,11,27252.0
20|20|0.03,3,12,27252.0
20|20|0.03,3,13,27252.0
20|20|0.03,3,14,27252.0
20|20|0.03,3,15,27252.0
20|20|0.03,3,16,27252.0
20|20|0.03,3,17,27252.0
20|20|0.03,3,18,27252.0
20|20|0.03,3,19,27252.0
20|20|0.03,4,0,30315.0
20|20|0.03,4,1,30315.0
20|20|0.03,4,2,30315.0
20|20|0.03,4,3,30315.0
20|20|0.03,4,4,30315.0
20|20|0.03,4,5,30315.0
20|20|0.03,4,6,30315.0
20|20|0.03,4,7,30315.0
20|20|0.03,4,8,30315.0
20|20|0.03,4,9,30315.0
20|20|0.03,4,10,30315.0
20|20|0.03,4,11,30315.0
20|20|0.03,4,12,30315.0
20|20|0.03,4,13,30315.0
20|20|0.03,4,14,30315.0
20|20|0.03,4,15,30315.0
20|20|0.03,4,16,30315.0
20|20|0.03,4,17,30315.0
20|20|0.03,4,18,30315.0
20|20|0.03,4,19,30315.0
20|20|0.03,5,0,25229.0
20|20|0.03,5,1,25229.0
20|20|0.03,5,2,25229.0
20|20|0.03,5,3,25229.0
20|20|0.03,5,4,25229.0
20|20|0.03,5,5,25229.0
20|20|0.03,5,6,25229.0
20|20|0.03,5,7,25229.0
20|20|0.03,5,8,25229.0
20|20|0.03,5,9,25229.0
20|20|0.03,5,10,25229.0
20|20|0.03,5,11,25229.0
20|20|0.03,5,12,25229.0
20|20|0.03,5,13,25229.0
20|20|0.03,5,14,25229.0
20|20|0.03,5,15,25229.0
20|20|0.03,5,16,25229.0
20|20|0.03,5,17,25229.0
20|20|0.03,5,18,25229.0
20|20|0.03,5,19,25229.0
20|20|0.03,6,0,27252.0
20|20|0.03,6,1,27252.0
20|20|0.03,6,2,27252.0
20|20|0.03,6,3,27252.0
20|20|0.03,6,4,27252.0
20|20|0.03,6,5,27252.0
20|20|0.03,6,6,27252.0
20|20|0.03,6,7,27252.0
20|20|0.03,6,8,27252.0
20|20|0.03,6,9,27252.0
20|20|0.03,6,10,27252.0
20|20|0.03,6,11,27252.0
20|20|0.03,6,12,27252.0
20|20|0.03,6,13,27252.0
20|20|0.03,6,14,27252.0
20|20|0.03,6,15,27252.0
20|20|0.03,6,16,27252.0
20|20|0.03,6,17,26993.0
20|20|0.03,6,18,26993.0
