n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.01,9,18,365
20|20|0.01,9,19,365
20|20|0.02,0,0,576
20|20|0.02,0,1,576
20|20|0.02,0,2,467
20|20|0.02,0,3,467
20|20|0.02,0,4,467
20|20|0.02,0,5,467
20|20|0.02,0,6,467
20|20|0.02,0,7,467
20|20|0.02,0,8,458
20|20|0.02,0,9,458
20|20|0.02,0,10,440
20|20|0.02,0,11,418
20|20|0.02,0,12,418
20|20|0.02,0,13,413
20|20|0.02,0,14,413
20|20|0.02,0,15,413
20|20|0.02,0,16,413
20|20|0.02,0,17,413
20|20|0.02,0,18,413
20|20|0.02,0,19,374
20|20|0.02,1,0,561
20|20|0.02,1,1,549
20|20|0.02,1,2,491
20|20|0.02,1,3,475
20|20|0.02,1,4,465
20|20|0.02,1,5,465
20|20|0.02,1,6,465
20|20|0.02,1,7,465
20|20|0.02,1,8,465
20|20|0.02,1,9,455
20|20|0.02,1,10,455
20|20|0.02,1,11,451
20|20|0.02,1,12,450
20|20|0.02,1,13,429
20|20|0.02,1,14,429
20|20|0.02,1,15,429
20|20|0.02,1,16,395
20|20|0.02,1,17,395
20|20|0.02,1,18,395
20|20|0.02,1,19,365
20|20|0.02,2,0,543
20|20|0.02,2,1,526
20|20|0.02,2,2,526
20|20|0.02,2,3,518
20|20|0.02,2,4,518
20|20|0.02,2,5,518
20|20|0.02,2,6,511
20|20|0.02,2,7,511
20|20|0.02,2,8,498
20|20|0.02,2,9,486
20|20|0.02,2,10,486
20|20|0.02,2,11,486
20|20|0.02,2,12,486
20|20|0.02,2,13,456
20|20|0.02,2,14,456
20|20|0.02,2,15,444
20|20|0.02,2,16,444
20|20|0.02,2,17,444
20|20|0.02,2,18,444
20|20|0.02,2,19,444
20|20|0.02,3,0,574
20|20|0.02,3,1,557
20|20|0.02,3,2,531
20|20|0.02,3,3,531
20|20|0.02,3,4,487
20|20|0.02,3,5,487
20|20|0.02,3,6,475
20|20|0.02,3,7,437
20|20|0.02,3,8,431
20|20|0.02,3,9,431
20|20|0.02,3,10,419
20|20|0.02,3,11,419
20|20|0.02,3,12,419
20|20|0.02,3,13,419
20|20|0.02,3,14,419
20|20|0.02,3,15,419
20|20|0.02,3,16,419
20|20|0.02,3,17,419
20|20|0.02,3,18,419
20|20|0.02,3,19,419
20|20|0.02,4,0,582
20|20|0.02,4,1,539
20|20|0.02,4,2,539
20|20|0.02,4,3,539
20|20|0.02,4,4,470
20|20|0.02,4,5,470
20|20|0.02,4,6,444
20|20|0.02,4,7,444
20|20|0.02,4,8,444
20|20|0.02,4,9,444
20|20|0.02,4,10,444
20|20|0.02,4,11,444
20|20|0.02,4,12,444
20|20|0.02,4,13,444
20|20|0.02,4,14,444
20|20|0.02,4,15,444
20|20|0.02,4,16,441
20|20|0.02,4,17,441
20|20|0.02,4,18,423
20|20|0.02,4,19,400
20|20|0.02,5,0,603
20|20|0.02,5,1,580
20|20|0.02,5,2,531
20|20|0.02,5,3,531
20|20|0.02,5,4,527
20|20|0.02,5,5,516
20|20|0.02,5,6,466
20|20|0.02,5,7,466
20|20|0.02,5,8,466
20|20|0.02,5,9,453
20|20|0.02,5,10,453
20|20|0.02,5,11,453
20|20|0.02,5,12,453
20|20|0.02,5,13,453
20|20|0.02,5,14,453
20|20|0.02,5,15,453
20|20|0.02,5,16,451
20|20|0.02,5,17,451
20|20|0.02,5,18,451
20|20|0.02,5,19,451
20|20|0.02,6,0,587
20|20|0.02,6,1,512
20|20|0.02,6,2,502
20|20|0.02,6,3,485
20|20|0.02,6,4,434
20|20|0.02,6,5,434
20|20|0.02,6,6,434
20|20|0.02,6,7,434
20|20|0.02,6,8,434
20|20|0.02,6,9,428
20|20|0.02,6,10,428
20|20|0.02,6,11,428
20|20|0.02,6,12,416
20|20|0.02,6,13,416
20|20|0.02,6,14,416
20|20|0.02,6,15,386
20|20|0.02,6,16,386
20|20|0.02,6,17,386
20|20|0.02,6,18,358
20|20|0.02,6,19,358
20|20|0.02,7,0,487
20|20|0.02,7,1,487
20|20|0.02,7,2,487
20|20|0.02,7,3,487
20|20|0.02,7,4,416
20|20|0.02,7,5,416
20|20|0.02,7,6,393
20|20|0.02,7,7,393
20|20|0.02,7,8,393
20|20|0.02,7,9,388
20|20|0.02,7,10,388
20|20|0.02,7,11,388
20|20|0.02,7,12,360
20|20|0.02,7,13,360
20|20|0.02,7,14,360
20|20|0.02,7,15,360
20|20|0.02,7,16,328
20|20|0.02,7,17,328
20|20|0.02,7,18,328
20|20|0.02,7,19,328
20|20|0.02,8,0,560
20|20|0.02,8,1,558
20|20|0.02,8,2,517
20|20|0.02,8,3,517
20|20|0.02,8,4,485
20|20|0.02,8,5,440
20|20|0.02,8,6,440
20|20|0.02,8,7,440
20|20|0.02,8,8,440
20|20|0.02,8,9,440
20|20|0.02,8,10,440
20|20|0.02,8,11,417
20|20|0.02,8,12,417
20|20|0.02,8,13,417
20|20|0.02,8,14,401
20|20|0.02,8,15,401
20|20|0.02,8,16,385
20|20|0.02,8,17,385
20|20|0.02,8,18,385
20|20|0.02,8,19,385
20|20|0.02,9,0,580
20|20|0.02,9,1,573
20|20|0.02,9,2,549
20|20|0.02,9,3,541
20|20|0.02,9,4,530
20|20|0.02,9,5,522
20|20|0.02,9,6,479
20|20|0.02,9,7,479
20|20|0.02,9,8,479
20|20|0.02,9,9,479
20|20|0.02,9,10,479
20|20|0.02,9,11,470
20|20|0.02,9,12,470
20|20|0.02,9,13,470
20|20|0.02,9,14,470
20|20|0.02,9,15,447
20|20|0.02,9,16,447
20|20|0.02,9,17,447
20|20|0.02,9,18,435
20|20|0.02,9,19,435
20|20|0.03,0,0,582
20|20|0.03,0,1,533
20|20|0.03,0,2,533
20|20|0.03,0,3,503
20|20|0.03,0,4,503
20|20|0.03,0,5,503
20|20|0.03,0,6,503
20|20|0.03,0,7,503
20|20|0.03,0,8,503
20|20|0.03,0,9,499
20|20|0.03,0,10,484
20|20|0.03,0,11,484
20|20|0.03,0,12,482
20|20|0.03,0,13,481
20|20|0.03,0,14,481
20|20|0.03,0,15,447
20|20|0.03,0,16,447
20|20|0.03,0,17,433
20|20|0.03,0,18,433
20|20|0.03,0,19,433
20|20|0.03,1,0,525
20|20|0.03,1,1,525
20|20|0.03,1,2,525
20|20|0.03,1,3,512
20|20|0.03,1,4,512
20|20|0.03,1,5,479
20|20|0.03,1,6,479
20|20|0.03,1,7,479
20|20|0.03,1,8,479
20|20|0.03,1,9,479
20|20|0.03,1,10,479
20|20|0.03,1,11,479
20|20|0.03,1,12,479
20|20|0.03,1,13,479
20|20|0.03,1,14,479
20|20|0.03,1,15,479
20|20|0.03,1,16,477
20|20|0.03,1,17,477
20|20|0.03,1,18,477
20|20|0.03,1,19,435
20|20|0.03,2,0,573
20|20|0.03,2,1,503
20|20|0.03,2,2,503
20|20|0.03,2,3,503
20|20|0.03,2,4,500
20|20|0.03,2,5,447
20|20|0.03,2,6,447
20|20|0.03,2,7,447
20|20|0.03,2,8,447
20|20|0.03,2,9,433
20|20|0.03,2,10,433
20|20|0.03,2,11,433
20|20|0.03,2,12,433
20|20|0.03,2,13,430
20|20|0.03,2,14,430
20|20|0.03,2,15,430
20|20|0.03,2,16,430
20|20|0.03,2,17,415
20|20|0.03,2,18,415
20|20|0.03,2,19,412
20|20|0.03,3,0,583
20|20|0.03,3,1,583
20|20|0.03,3,2,515
20|20|0.03,3,3,515
20|20|0.03,3,4,515
20|20|0.03,3,5,506
20|20|0.03,3,6,506
20|20|0.03,3,7,506
20|20|0.03,3,8,506
20|20|0.03,3,9,486
20|20|0.03,3,10,476
20|20|0.03,3,11,476
20|20|0.03,3,12,475
20|20|0.03,3,13,475
20|20|0.03,3,14,474
20|20|0.03,3,15,474
20|20|0.03,3,16,474
20|20|0.03,3,17,461
20|20|0.03,3,18,417
20|20|0.03,3,19,417
20|20|0.03,4,0,557
20|20|0.03,4,1,526
20|20|0.03,4,2,526
20|20|0.03,4,3,518
20|20|0.03,4,4,513
20|20|0.03,4,5,497
20|20|0.03,4,6,477
20|20|0.03,4,7,466
20|20|0.03,4,8,406
20|20|0.03,4,9,404
20|20|0.03,4,10,404
20|20|0.03,4,11,404
20|20|0.03,4,12,404
20|20|0.03,4,13,404
20|20|0.03,4,14,404
20|20|0.03,4,15,395
20|20|0.03,4,16,395
20|20|0.03,4,17,388
20|20|0.03,4,18,388
20|20|0.03,4,19,388
20|20|0.03,5,0,569
20|20|0.03,5,1,550
20|20|0.03,5,2,508
20|20|0.03,5,3,456
20|20|0.03,5,4,456
20|20|0.03,5,5,456
20|20|0.03,5,6,433
20|20|0.03,5,7,433
20|20|0.03,5,8,428
20|20|0.03,5,9,428
20|20|0.03,5,10,428
20|20|0.03,5,11,428
20|20|0.03,5,12,428
20|20|0.03,5,13,414
20|20|0.03,5,14,414
20|20|0.03,5,15,414
20|20|0.03,5,16,409
20|20|0.03,5,17,386
20|20|0.03,5,18,386
20|20|0.03,5,19,386
20|20|0.03,6,0,580
20|20|0.03,6,1,580
20|20|0.03,6,2,521
20|20|0.03,6,3,521
20|20|0.03,6,4,510
20|20|0.03,6,5,478
20|20|0.03,6,6,478
20|20|0.03,6,7,478
20|20|0.03,6,8,478
20|20|0.03,6,9,478
20|20|0.03,6,10,478
20|20|0.03,6,11,476
20|20|0.03,6,12,464
20|20|0.03,6,13,464
20|20|0.03,6,14,464
20|20|0.03,6,15,464
20|20|0.03,6,16,464
20|20|0.03,6,17,461
20|20|0.03,6,18,461
20|20|0.03,6,19,444
20|20|0.03,7,0,564
20|20|0.03,7,1,554
20|20|0.03,7,2,554
20|20|0.03,7,3,515
20|20|0.03,7,4,515
20|20|0.03,7,5,481
20|20|0.03,7,6,481
20|20|0.03,7,7,481
20|20|0.03,7,8,481
